<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
116980,117260,116760,117160,109750,110490,109750,110170,109590,110300,109590,110280,112120,117390,112120,115820
117150,117170,116850,116930,110190,110250,110090,110200,110280,110360,110120,110150,115820,116100,115810,116070
116950,116960,116860,116930,110190,110250,110060,110160,110160,110250,110150,110200,116040,116090,115560,115600
116920,116990,116880,116920,110160,110290,110090,110270,110190,110390,110070,110330,115620,115800,115300,115340
116930,117010,116870,116950,110250,110290,110220,110250,110320,110460,110270,110450,115340,115540,115320,115490
116960,116960,116880,116940,110240,110260,110200,110200,110450,110470,110360,110380,115470,115580,115310,115410
116910,116970,116870,116870,110200,110310,110200,110290,110400,110430,110300,110320,115430,115470,115370,115430
116890,116900,116620,116680,110290,110320,110260,110300,110330,110360,110260,110290,115430,115520,115400,115490
116680,116680,116570,116630,110310,110330,110220,110250,110290,110340,110260,110330,115500,115650,115480,115630
116630,116680,116580,116670,110260,110280,110220,110260,110310,110350,110270,110280,115630,115970,115610,115960
116660,116690,116370,116380,110280,110320,110250,110300,110300,110370,110290,110310,115950,115980,115810,115850
116380,116470,116360,116420,110300,110330,110260,110270,110310,110330,110210,110260,115850,115920,115810,115840
116430,116630,116300,116580,110270,110300,110230,110300,110260,110300,110150,110170,115840,115870,115760,115780
116570,116610,116540,116580,110300,110310,110270,110270,110170,110180,110090,110100,115780,115820,115730,115780
116580,116610,116520,116610,110280,110290,110200,110240,110100,110200,110090,110190,115770,115850,115770,115820
116600,116610,116460,116490,110240,110350,110240,110280,110180,110200,110090,110090,115810,115850,115690,115700
116500,116560,116430,116550,110290,110290,110250,110290,110100,110190,110080,110160,115710,115730,115640,115640
116560,116740,116530,116730,110290,110290,110220,110220,110160,110190,110120,110170,115630,115740,115630,115710
116720,116800,116700,116730,110220,110220,110140,110150,110160,110160,110110,110130,115710,115750,115660,115680
116740,116740,116610,116650,110160,110250,110140,110220,110140,110150,110080,110130,115680,115750,115670,115700
116660,116700,116570,116700,110220,110240,110150,110190,110120,110200,110080,110180,115710,115750,115700,115730
116700,116750,116620,116660,110180,110200,110100,110110,110190,110340,110170,110280,115730,115750,115640,115650
116650,116670,116560,116630,110110,110150,110070,110090,110290,110330,110220,110240,115630,115640,115560,115580
116610,116730,116610,116730,110090,110140,110090,110120,110230,110340,110200,110320,115580,115580,115440,115470
116730,116760,116700,116720,110110,110120,110070,110110,110330,110360,110300,110320,115460,115490,115350,115380
116730,116890,116720,116860,110110,110130,110060,110120,110320,110330,110280,110290,115370,115450,115370,115410
116850,116900,116820,116860,110110,110160,110100,110160,110300,110300,110200,110240,115400,115440,115340,115420
116860,116890,116810,116810,110160,110200,110140,110200,110240,110300,110240,110280,115430,115460,115400,115440
116810,116860,116740,116840,110180,110220,110160,110210,110290,110360,110290,110310,115450,115520,115440,115510
116820,116900,116820,116820,110220,110260,110140,110180,110320,110330,110270,110310,115520,115750,115480,115630
116830,116830,116750,116790,110190,110210,110150,110200,110300,110370,110290,110310,115620,115690,115620,115660
116800,116810,116770,116800,110210,110260,110200,110260,110310,110330,110280,110310,115670,115680,115590,115610
116790,116800,116730,116770,110260,110340,110240,110310,110300,110350,110280,110320,115600,115670,115600,115630
116790,116830,116770,116810,110310,110320,110250,110270,110320,110320,110240,110240,115630,115680,115610,115620
116800,116820,116740,116800,110260,110290,110250,110270,110250,110280,110210,110280,115620,115670,115590,115620
116790,116860,116740,116860,110260,110260,110210,110220,110270,110310,110260,110310,115620,115650,115610,115630
116860,116870,116800,116830,110220,110270,110180,110270,110310,110310,110260,110280,115630,115690,115620,115670
116820,116850,116800,116830,110260,110330,110240,110280,110280,110300,110250,110280,115680,115700,115650,115660
116830,116850,116800,116810,110280,110390,110280,110360,110280,110280,110160,110220,115660,115670,115610,115610
116820,116820,116790,116790,110360,110520,110360,110490,110220,110260,110210,110250,115610,115640,115590,115610
116790,116830,116750,116830,110470,110470,110400,110400,110260,110330,110250,110300,115620,115640,115570,115630
116820,116830,116790,116830,110410,110450,110350,110440,110310,110370,110300,110340,115630,115650,115590,115610
116830,116890,116830,116870,110450,110490,110360,110380,110340,110350,110330,110330,115600,115630,115570,115620
116870,116890,116830,116880,110390,110430,110370,110420,110330,110400,110330,110380,115620,115680,115600,115620
116870,116880,116850,116860,110420,110430,110390,110400,110380,110400,110310,110340,115610,115660,115600,115630
116860,116870,116820,116850,110400,110400,110310,110320,110340,110350,110310,110310,115630,115770,115630,115740
116850,116850,116820,116830,110320,110360,110280,110360,110310,110310,110220,110250,115740,115750,115710,115730
116820,116820,116780,116780,110360,110540,110340,110520,110250,110340,110250,110330,115730,115750,115710,115720
116790,116790,116710,116720,110510,110570,110500,110500,110340,110390,110340,110370,115710,115750,115670,115690
116720,116730,116660,116710,110510,110630,110500,110610,110370,110380,110300,110310,115690,115720,115650,115650
116710,116720,116610,116610,110610,110620,110510,110520,110310,110340,110280,110340,115660,115750,115650,115730
116620,116690,116610,116650,110520,110570,110460,110540,110320,110370,110320,110350,115720,115740,115700,115730
116660,116730,116660,116720,110540,110560,110500,110520,110340,110410,110340,110400,115730,115780,115730,115740
116730,116780,116710,116740,110520,110530,110500,110500,110390,110400,110330,110340,115750,115810,115750,115800
116730,116750,116660,116710,110500,110590,110500,110580,110360,110370,110320,110320,115800,115810,115760,115760
116710,116790,116710,116770,110590,110640,110570,110590,110320,110410,110320,110380,115760,115820,115760,115820
116750,116830,116730,116790,110600,110620,110560,110590,110370,110390,110340,110360,115810,115830,115740,115760
116810,116830,116720,116760,110580,110580,110560,110580,110370,110420,110360,110380,115750,115770,115710,115720
116750,116820,116710,116790,110560,110560,110510,110530,110390,110410,110360,110410,115710,115740,115700,115730
116780,116790,116730,116730,110520,110540,110500,110510,110400,110400,110290,110330,115730,115750,115700,115720
116750,116810,116700,116780,110510,110580,110420,110420,110360,110420,110320,110370,115720,115770,115610,115620
116780,116780,116690,116690,110420,110440,110350,110390,110370,110400,110310,110340,115630,115710,115610,115640
116690,116770,116670,116770,110390,110440,110350,110370,110340,110430,110330,110390,115640,115680,115530,115550
116770,116840,116770,116840,110360,110400,110340,110400,110390,110430,110370,110430,115560,115570,115430,115440
